marca_id;modelo_id;ano_modelo;data_venda;valor_venda;taxa_servico;valor_total;km_rodados;placa;cliente;cpf;estado;valor_venda_num;km_rodados_num;marca_id_limpo;modelo_id_limpo;ano_modelo_limpo;placa_limpa;cpf_limpo;valor_venda_limpo;taxa_servico_limpo;marca_id_clean;modelo_id_clean;ano_modelo_clean;placa_clean;cpf_clean;valor_venda_clean;taxa_servico_clean;fipe_json
21;4828;2010-6;02-15-2025;R$45990,00;900,00;46890,00;98-000;DEF4K56;Maria Souza;987-654-321-00;XX;45990.0;;21;4828;2010-6;DEF4K56;98765432100;45990.0;900.0;21;4828;2010-6;DEF4K56;98765432100;45990.0;900.0;
23;1043;2020-1;2025-03-20;73.500,00;1.000,00;74.500,00;65000;GHI-7L89;Carlos Pereira;741.852.963-11;RJ;73500.0;65000.0;23;1043;2020-1;GHI7L89;74185296311;73500.0;1000.0;23;1043;2020-1;GHI7L89;74185296311;73500.0;1000.0;
23;6831;2020-1;03-20-2025;R$ 73.500,00;1000,00;74.400,00;65000km;GHI7L89;Carlos Pereira;741-852-963-11;SP;73500.0;65000.0;23;6831;2020-1;GHI7L89;74185296311;73500.0;1000.0;23;6831;2020-1;GHI7L89;74185296311;73500.0;1000.0;
22;9120;2019-3;2025-04-05;52.300,00;850,00;53.150,00;42000;JKL-2P45;Ana Lima;159.753.486-22;SP;52300.0;42000.0;22;9120;2019-3;JKL2P45;15975348622;52300.0;850.0;22;9120;2019-3;JKL2P45;15975348622;52300.0;850.0;
22;9120;2019-3;05/04/2025;52300.00;850.00;53150.00;42.000;JKL2P45;Ana Lima;15975348622;RJ;52300.0;42.0;22;9120;2019-3;JKL2P45;15975348622;52300.0;850.0;22;9120;2019-3;JKL2P45;15975348622;52300.0;850.0;
22;9120; 2019-3 ;04-05-2025;R$52300,00;850;53150;42000km;JKL2P45;Ana Lima;159-753-486-22;ZZ;52300.0;42000.0;22;9120;2019-3;JKL2P45;15975348622;52300.0;850.0;22;9120;2019-3;JKL2P45;15975348622;52300.0;850.0;
44;7710; 2017-1 ;2025-05-11;39.900,00;700,00;40.600,00;87000;MNO9T12;Paulo Mendes;321.654.987-33;SP;39900.0;87000.0;44;7710;2017-1;MNO9T12;32165498733;39900.0;700.0;44;7710;2017-1;MNO9T12;32165498733;39900.0;700.0;
44;7710;2017-1;05-11-2025;R$ 39.900,00;700,00;40.600,00;87000km;MNO9T12;Paulo Mendes;321-654-987-33;RJ;39900.0;87000.0;44;7710;2017-1;MNO9T12;32165498733;39900.0;700.0;44;7710;2017-1;MNO9T12;32165498733;39900.0;700.0;
21;5940;2014-1;2025-01-10;R$ 88.629,00;1.200,00;89.829,00;120000;XYZ1A11;Lucas Prado;456.123.789-44;SP;88629.0;120000.0;21;5940;2014-1;XYZ1A11;45612378944;88629.0;1200.0;21;5940;2014-1;XYZ1A11;45612378944;88629.0;1200.0;
59;7710;2017-1;2025-02-11;39900;700;40600;87000;XYZ-2B22;Marcos Dias;45612378944;XX;39900.0;87000.0;59;7710;2017-1;XYZ2B22;45612378944;39900.0;700.0;59;7710;2017-1;XYZ2B22;45612378944;39900.0;700.0;
