marca_id;modelo_id;ano_modelo;data_venda;valor_venda;taxa_servico;valor_total;km_rodados;placa;cliente;cpf;estado;preco_fipe;marca;lucro
59;5940; 2011-3  ;2025-01-10;88629,00;1200,00;89829,00;120000;ABC1D23;Joao Silva;123.456.789-09;SP;72.434,00;VW - VolksWagen;-16195,00
59;5940;2021-3;10/01/2025;88629,00;1200,00;89829,00;120000;ABC1D23;Joao Silva;12345678909;SP;149.786,00;VW - VolksWagen;61157,00
59;5940;2020-3;01-10-2025;88,63;1200,00;1288,63;120000;ABC1D23;Joao Alberto Silva;123-456-789-10;RJ;141.217,00;VW - VolksWagen;141128,37
21;4828;2010-5;2025/02/15;45990,00;900,00;46890,00;98000;DEF-4K56;Maria Souza Franco;987.654.321-00;SP;25.693,00;Fiat;-20297,00
21;4828;2010-5;15/02/2025;45990,00;900,00;46890,00;98000;DEF4K56;Maria Augusta Souza;98765432100;SP;25.693,00;Fiat;-20297,00
23;1044;2003-1;20/03/2025;73500,00;1000,00;74500,00;65000;GHI7L89;Carlos Pereira;74185296311;RJ;16.875,00;GM - Chevrolet;-56625,00
21;4828;2010-5;2025-07-10;45990,00;900,00;46890,00;98000;STU8V90;Ricardo Alves;753.159.852-77;RJ;25.693,00;Fiat;-20297,00
21;4828;2010-5;07-10-2025;45990,00;900,00;46890,00;98000;STU8V90;Ricardo Alves;753-159-852-77;XX;25.693,00;Fiat;-20297,00
59;5940;2011-3;2025-01-10;88629,00;1200,00;89829,00;120000;ABC1D23;Joao Silva;123.456.789-09;SP;72.434,00;VW - VolksWagen;-16195,00
59;5940;2021-3;10/01/2025;88629,00;1200,00;89829,00;120000;ABC1D23;Joao Silva;12345678909;SP;149.786,00;VW - VolksWagen;61157,00
